Location,Arrival Time,Arrival Date,Dep. Time,Dep. Date,
London,6:50am,10/17/16,9:35am,10/17/16,
Abu Dhabi,7:35pm,10/17/16,9:00pm,10/24/16,
Riyadh,9:50pm,10/24/16,9:15pm,10/26/16,
Dubai,12:25am,10/27/16,1:55am,10/27/16,
Sydney,10:30pm,10/27/16,11:00am,10/30/16,
Melbourne,12:35pm,10/30/16,8:50am,11/01/16,
Hong Kong,3:15pm,11/01/16,11:30pm,11/03/16,
London,4:50am,11/04/16,4:55pm,11/05/16,
Baltimore,8:25pm,11/05/16,1:25pm,11/11/16,
NYC,3:47pm,11/11/16,2:35pm,11/12/16,
Durham,4:15pm,11/12/16,2:25pm,11/14/16,
Baltimore,3:25pm,11/14/16,6:15pm,11/17/16,
London,6:25am,11/18/16,8:35am,11/18/16,
Geneva,11:15am,11/18/16,7:30am,11/20/16,
London,8:15am,11/20/16,5:00pm,11/20/16,
Baltimore,8:30pm,11/20/16,1:30pm,11/23/16,
NYC,3:45pm,11/23/16,4:00pm,11/24/16,
Baltimore,6:07pm,11/24/16,6:35am,11/25/16,
Houston,9:20am,11/25/16,1:05pm,11/28/16,
Baltimore,4:55pm,11/28/16,7:34am,12/08/16,
NYC,9:48am,12/08/16,2:00pm,12/08/16,
Baltimore,4:08pm,12/08/16,4:00pm,12/09/16,
Boston,5:25pm,12/09/16,5:30pm,12/10/16,
Baltimore,7:10pm,12/10/16,6:15pm,12/13/16,
London,6:25am,12/14/16,4:55pm,12/17/16,
Baltimore,8:25pm,12/17/16,6:15pm,12/18/16,
London,6:25am,12/19/16,11:00am,12/23/16,
Dornoch,12:20pm,12/23/16,12:00pm,12/27/16,
London,1:20pm,12/27/16,5:00pm,12/28/16,
Baltimore,8:30pm,12/28/16,10:30am,12/30/16,
Rosemary Beach,12:35pm,12/30/16,12:00am,01/01/16,
